label,T0: political-british-election-military-violence,T1: war-french-church-communist-black,T2: french-france-british-britain-libya,T3: agency-security-intelligence-plan-threat,T4: bush-vote-campaign-election-white_house,T5: war-right-soviet-political-russia,T6: judge-trial-lawyer-suspect-investigation,T7: israel-israeli-palestinian-arab-palestinians,T8: school-child-home-student-help,T9: kill-attack-bomb-fire-soldier,T10: iraq-military-force-war-afghanistan,T11: iran-china-program-increase-washington
1851-1900,0.0016750418760469012,0.9095477386934674,0.0,0.0016750418760469012,0.010050251256281407,0.07202680067001675,0.0033500837520938024,0.0,0.0016750418760469012,0.0,0.0,0.0
1901-1930,0.03265666372462489,0.6681376875551632,0.00353045013239188,0.00088261253309797,0.00529567519858782,0.22594880847308033,0.03618711385701677,0.0,0.00617828773168579,0.01676963812886143,0.0,0.00441306266548985
1931-1950,0.06075591663723066,0.5909572589191099,0.010596962204168139,0.002472624514305899,0.004945249028611798,0.15365595196043802,0.045920169551395267,0.018721299894030378,0.009890498057223597,0.07523843164959379,0.0007064641469445425,0.026139173436948077
1951-1960,0.12757475083056477,0.44518272425249167,0.03388704318936877,0.00132890365448505,0.0053156146179402,0.1707641196013289,0.03189368770764119,0.021926910299003323,0.007308970099667774,0.14086378737541527,0.0033222591362126247,0.0106312292358804
1961-1980,0.1729757085020243,0.20941295546558705,0.02834008097165992,0.026821862348178137,0.012550607287449392,0.11558704453441296,0.06811740890688259,0.09018218623481782,0.051113360323886636,0.1346153846153846,0.02165991902834008,0.06862348178137652
1981-20010910,0.13744292237442923,0.03315770987003864,0.059430979978925186,0.05802599227256761,0.03291183702142606,0.07544783983140148,0.11636810677906569,0.11738672286617492,0.11907270811380401,0.1223744292237443,0.04176325957147875,0.08661749209694415
20010911-2019,0.028103588433399142,0.0007838810823365463,0.04796190918592498,0.11279177795842527,0.11557891069562187,0.036813378237138546,0.11081755893624434,0.08332365578910696,0.16481825571942862,0.06738474044826386,0.1741377308094298,0.05748461270468006
