,1851-1900,1901-1930,1931-1950,1951-1960,1961-1980,1981-20010910,20010911-2019
1851-1900,99,11,2,5,1,1,0
1901-1930,22,71,16,7,2,1,0
1931-1950,9,16,76,13,4,2,0
1951-1960,3,10,6,87,10,3,0
1961-1980,3,4,8,29,64,9,2
1981-20010910,3,4,1,6,12,61,33
20010911-2019,0,0,0,0,3,14,103
