period,0,1,2,3,4,5,6,7,8,9,10,11
1851-1900,0.0,0.0,16.1,1.0,3.0,79.9,0.0,0.0,0.0,0.0,0.0,0.0
1901-1930,0.0,0.2,6.7,30.5,15.7,44.7,0.3,0.0,0.2,0.2,0.0,1.5
1931-1950,0.0,0.5,4.2,28.3,32.8,28.5,0.3,0.3,1.0,1.3,0.3,2.3
1951-1960,0.0,1.7,2.3,16.6,40.0,14.6,0.3,0.7,11.2,10.2,1.2,1.2
1961-1980,0.0,1.5,2.2,11.1,33.8,17.1,1.7,7.5,3.5,10.9,5.7,5.0
1981-20010910,2.3,0.5,1.0,7.0,13.2,10.9,4.0,10.1,5.4,14.4,20.1,11.1
20010911-2019,13.2,1.2,1.2,3.4,2.8,3.2,7.2,8.7,9.4,11.9,18.6,19.3
